task_id,ngo_type,required_skills,urgency_level,duration_hours,latitude,longitude,difficulty_level,requires_background_check,flexible_timing,ngo_reputation_score
T0053,elderly_care,"social_media,public_speaking,event_planning,data_entry",3,8,13.0048,77.6041,3,1,1,4.3
T0054,education,"graphic_design,data_entry,translation,social_media",4,4,12.7373,77.5091,2,0,0,3.8
T0055,education,"public_speaking,graphic_design,community_outreach,legal_advice",4,8,13.152,77.7558,3,1,1,4.2
T0056,environment,"event_planning,counseling",2,15,13.1668,77.7247,5,1,0,4.4
T0057,women_empowerment,cooking,1,20,12.9768,77.5461,4,0,1,3.5
T0058,elderly_care,medical_assistance,1,4,12.7956,77.7738,1,0,1,4.7
T0059,elderly_care,"community_outreach,public_speaking,teaching,data_entry",4,15,13.1458,77.5611,5,0,0,4.8
T0060,animal_welfare,"data_entry,mentoring,fundraising",1,6,12.8159,77.5471,2,0,1,3.6
T0061,healthcare,"graphic_design,medical_assistance",2,6,12.9858,77.5189,4,1,1,4.9
T0062,disaster_relief,"counseling,event_planning",4,8,13.0399,77.4741,4,1,1,3.6
T0063,women_empowerment,"counseling,graphic_design,legal_advice,cooking",4,15,13.0873,77.6711,2,1,0,3.9
T0064,women_empowerment,"fundraising,translation,coding,social_media",3,10,13.1556,77.5763,4,1,0,4.3
T0065,disaster_relief,cooking,1,15,13.0612,77.6665,5,1,1,3.9
T0066,environment,cooking,4,20,13.1707,77.615,2,1,0,3.6
T0067,women_empowerment,"data_entry,community_outreach,gardening",2,4,12.9206,77.5443,1,1,0,4.2
T0068,disaster_relief,teaching,4,15,12.9688,77.5968,4,1,1,4.4
T0069,education,"medical_assistance,coding,fundraising",1,15,12.9743,77.5973,2,0,0,4.2
T0070,women_empowerment,"writing,legal_advice",5,2,13.0984,77.4004,3,1,0,4.2
T0071,disaster_relief,event_planning,4,8,12.9923,77.6302,1,1,0,3.8
T0072,disaster_relief,"mentoring,data_entry,teaching,event_planning",4,15,12.84,77.4538,5,1,0,4.2
T0073,healthcare,"cooking,translation,writing,mentoring",3,6,12.8593,77.5744,4,1,0,4.2
T0074,elderly_care,"community_outreach,legal_advice,teaching",4,8,13.0754,77.7612,2,0,1,4.9
T0075,disaster_relief,"social_media,coding,medical_assistance,legal_advice",3,20,13.0623,77.4369,2,0,1,4.5
T0076,disaster_relief,translation,5,2,13.0087,77.6337,4,1,1,3.9
T0077,environment,teaching,2,20,12.9271,77.6493,5,0,0,4.0
T0078,elderly_care,writing,3,20,13.0156,77.6363,3,0,1,4.8
T0079,healthcare,mentoring,4,2,13.0776,77.542,5,0,0,4.3
T0080,disaster_relief,"event_planning,photography",3,20,13.0076,77.5721,5,1,0,3.7
T0081,education,"data_entry,social_media,event_planning",4,4,13.0405,77.498,4,1,1,4.3
T0082,women_empowerment,public_speaking,3,4,12.8297,77.7412,5,1,0,3.7
T0083,healthcare,"legal_advice,construction,community_outreach,counseling",1,2,13.0838,77.5532,3,1,1,5.0
T0084,education,"legal_advice,mentoring",2,15,12.9637,77.6008,5,1,1,4.1
T0085,environment,"data_entry,counseling,teaching",5,15,13.0848,77.3792,4,1,0,4.8
T0086,environment,"counseling,medical_assistance,photography,coding",4,10,13.097,77.668,5,1,0,3.6
T0087,child_welfare,"cooking,data_entry,graphic_design",5,4,13.2096,77.6299,3,1,0,4.6
T0088,disaster_relief,"public_speaking,cooking,counseling",1,6,13.1173,77.7381,5,0,1,4.0
T0089,child_welfare,"construction,gardening",3,15,13.007,77.5422,5,0,1,4.3
T0090,disaster_relief,"event_planning,data_entry",3,2,12.9198,77.5892,2,1,1,3.6
T0091,healthcare,legal_advice,4,6,13.07,77.5116,5,1,1,4.8
T0092,disaster_relief,"legal_advice,community_outreach,translation,construction",2,15,12.9891,77.5597,4,0,0,4.5
T0093,healthcare,"translation,mentoring,graphic_design,counseling",4,2,12.9999,77.5794,3,1,0,4.3
T0094,disaster_relief,counseling,3,2,12.9374,77.6898,2,0,1,3.6
T0095,elderly_care,"coding,photography,graphic_design",1,2,13.0272,77.4748,1,1,1,4.4
T0096,disaster_relief,"data_entry,medical_assistance,translation,social_media",4,15,12.9818,77.4586,4,0,1,3.6
T0097,child_welfare,"medical_assistance,writing,construction,data_entry",4,15,12.7212,77.5286,1,0,0,4.4
T0098,education,"gardening,event_planning,fundraising",5,10,13.0308,77.751,5,0,1,4.3
T0099,child_welfare,event_planning,1,20,12.8933,77.4741,2,0,1,3.6
T0100,environment,"medical_assistance,mentoring,translation",4,8,12.9757,77.5898,1,1,1,3.9
T0101,child_welfare,event_planning,2,20,12.8971,77.5746,1,0,1,4.9
T0102,animal_welfare,"mentoring,data_entry",3,2,13.0521,77.7698,3,0,1,4.8
T0103,women_empowerment,"medical_assistance,event_planning,mentoring",5,8,13.0313,77.7889,5,1,0,3.9
T0104,education,"community_outreach,gardening,legal_advice",2,6,12.9788,77.5977,5,0,0,4.6
T0105,women_empowerment,"coding,legal_advice",5,20,12.7559,77.6707,2,1,0,4.7
T0106,child_welfare,"gardening,community_outreach,mentoring,teaching",5,15,13.0712,77.3547,2,0,0,4.9
T0107,child_welfare,"public_speaking,construction,medical_assistance,counseling",5,2,13.0032,77.5465,2,0,1,3.6
T0108,women_empowerment,social_media,4,10,12.9295,77.328,5,1,1,4.5
T0109,education,"public_speaking,writing,data_entry,cooking",3,15,13.0351,77.8459,2,0,1,3.5
T0110,animal_welfare,graphic_design,4,10,12.7648,77.7202,1,0,0,4.8
T0111,healthcare,"event_planning,counseling,medical_assistance,gardening",1,8,12.7998,77.7427,3,0,1,3.5
T0112,healthcare,public_speaking,2,20,12.8906,77.4209,5,1,0,3.9
T0113,education,"counseling,mentoring,public_speaking,translation",2,4,13.1293,77.4867,4,0,1,4.4
T0114,environment,"graphic_design,gardening,photography,construction",1,6,13.0034,77.6084,5,0,1,3.8
T0115,education,gardening,4,8,12.8332,77.4734,1,1,1,4.8
T0116,women_empowerment,"public_speaking,event_planning,cooking,community_outreach",1,2,12.8319,77.5985,3,1,1,4.0
T0117,healthcare,"photography,data_entry,fundraising,teaching",4,4,13.0325,77.5909,2,0,1,4.0
T0118,elderly_care,teaching,5,20,12.7549,77.622,3,0,0,4.2
T0119,disaster_relief,"mentoring,data_entry,cooking",5,20,13.0414,77.3493,1,1,0,3.6
T0120,environment,mentoring,1,2,12.799,77.7621,4,0,1,4.4
T0121,animal_welfare,"fundraising,event_planning,mentoring,cooking",1,4,12.9429,77.6936,5,0,1,4.1
T0122,healthcare,"event_planning,data_entry,teaching,community_outreach",1,2,12.8137,77.5775,5,0,0,4.9
T0123,disaster_relief,"cooking,public_speaking",5,4,12.8916,77.6972,2,0,0,3.6
T0124,environment,"construction,legal_advice,cooking",3,4,13.169,77.5436,4,1,1,3.9
T0125,women_empowerment,cooking,1,10,12.8147,77.4999,5,0,1,4.0
T0126,elderly_care,"photography,fundraising",4,20,12.8734,77.7461,5,1,1,4.1
T0127,women_empowerment,"event_planning,community_outreach",4,2,13.1468,77.4218,2,0,1,4.4
T0128,environment,"translation,data_entry",4,20,13.0074,77.4995,1,1,0,3.6
T0129,elderly_care,gardening,2,2,13.0304,77.6466,1,0,0,3.9
T0130,women_empowerment,"public_speaking,graphic_design",2,2,12.8914,77.7212,2,1,0,3.5
T0131,women_empowerment,"medical_assistance,event_planning",4,6,12.9416,77.6429,3,0,1,4.8
T0132,women_empowerment,event_planning,2,10,13.1254,77.7914,4,1,1,4.4
T0133,elderly_care,"mentoring,photography",2,4,13.0201,77.5316,1,1,0,4.8
T0134,elderly_care,"photography,fundraising,translation,gardening",5,8,13.0236,77.6857,5,1,0,4.0
T0135,education,"cooking,translation,gardening",5,4,12.8167,77.6204,2,0,1,4.8
T0136,child_welfare,"photography,coding,legal_advice,medical_assistance",3,10,12.7438,77.485,1,0,0,3.9
T0137,disaster_relief,"writing,mentoring,community_outreach",4,8,12.881,77.5876,4,1,1,4.0
T0138,child_welfare,"teaching,graphic_design,community_outreach,writing",1,20,12.9696,77.615,5,0,1,4.9
T0139,elderly_care,event_planning,2,4,12.9809,77.5991,3,1,1,4.6
T0140,animal_welfare,"photography,social_media,public_speaking",3,8,13.0524,77.5989,5,0,1,4.5
T0141,women_empowerment,"medical_assistance,writing",4,10,13.0009,77.7949,5,1,1,4.0
T0142,women_empowerment,data_entry,4,8,13.0372,77.4991,4,0,1,3.7
T0143,elderly_care,"coding,teaching",3,4,12.7935,77.5948,4,1,1,4.6
T0144,animal_welfare,"data_entry,teaching,mentoring",3,8,13.0083,77.5751,2,1,0,4.3
T0145,healthcare,"translation,event_planning",3,4,12.848,77.8233,1,0,0,4.7
T0146,women_empowerment,"teaching,graphic_design,photography,fundraising",2,6,13.0601,77.5395,5,0,1,3.6
T0147,environment,graphic_design,4,2,12.8575,77.8124,2,1,1,4.6
T0148,environment,"photography,social_media,construction,coding",4,10,12.7969,77.6739,5,1,0,4.3
T0149,women_empowerment,"public_speaking,photography,teaching,social_media",5,10,12.7616,77.6691,3,1,1,4.2
T0150,elderly_care,fundraising,4,15,12.9154,77.826,3,1,0,4.1
T0151,healthcare,"legal_advice,community_outreach",5,8,12.8382,77.7127,1,0,0,3.9
T0152,elderly_care,"fundraising,photography,translation",1,2,12.7969,77.7035,1,1,1,4.2
T0153,animal_welfare,"photography,cooking,mentoring",4,6,12.9524,77.5993,4,0,1,3.6
T0154,healthcare,"event_planning,social_media,data_entry",4,2,12.9114,77.4845,5,0,1,3.7
T0155,animal_welfare,"graphic_design,construction,teaching",1,4,12.9341,77.5648,1,0,1,3.7
T0156,education,"graphic_design,photography,mentoring",4,20,13.084,77.5048,5,0,1,4.5
T0157,women_empowerment,"mentoring,teaching,construction,medical_assistance",3,4,12.9985,77.345,1,0,1,3.5
T0158,women_empowerment,data_entry,1,2,13.0504,77.4286,2,0,0,4.1
T0159,women_empowerment,data_entry,5,10,12.8969,77.7466,4,1,0,3.8
T0160,education,counseling,3,8,12.9698,77.5982,2,1,0,3.6
T0161,disaster_relief,"counseling,mentoring,fundraising",5,2,13.0552,77.5214,5,0,1,4.9
T0162,disaster_relief,"medical_assistance,social_media,data_entry",3,2,13.0647,77.7782,3,0,1,4.1
T0163,child_welfare,"cooking,teaching",1,4,12.9898,77.7602,4,0,0,3.6
T0164,women_empowerment,"translation,coding,photography",1,15,13.0036,77.6396,5,1,1,3.7
T0165,women_empowerment,"mentoring,cooking,legal_advice",1,20,12.925,77.5321,3,1,0,3.8
T0166,animal_welfare,writing,2,10,13.0314,77.4162,3,0,1,4.4
T0167,women_empowerment,translation,2,4,13.0187,77.6167,1,0,0,3.9
T0168,women_empowerment,legal_advice,2,8,12.9584,77.5115,2,0,1,3.9
T0169,environment,"photography,public_speaking,translation,fundraising",4,8,13.0642,77.5652,4,1,1,4.6
T0170,environment,"teaching,medical_assistance,legal_advice,fundraising",5,10,12.9855,77.3459,2,1,1,4.2
T0171,environment,"coding,medical_assistance,translation,fundraising",2,4,12.8751,77.762,1,0,1,4.2
T0172,animal_welfare,"medical_assistance,counseling,construction,translation",1,2,12.8768,77.8441,1,1,0,3.8
T0173,animal_welfare,"public_speaking,counseling,cooking,translation",1,8,12.9058,77.52,2,0,1,3.6
T0174,child_welfare,"teaching,social_media,public_speaking",2,4,12.7704,77.4376,5,0,0,3.7
T0175,women_empowerment,medical_assistance,1,8,12.8448,77.6896,2,1,1,4.5
T0176,environment,"construction,coding,legal_advice,fundraising",3,6,13.0913,77.6927,2,1,1,3.5
T0177,animal_welfare,"translation,teaching",4,15,13.1432,77.7142,3,1,0,3.8
T0178,disaster_relief,"social_media,photography",1,10,12.8362,77.6061,2,0,0,3.6
T0179,healthcare,"photography,public_speaking",4,20,13.2058,77.5694,2,0,1,3.6
T0180,disaster_relief,public_speaking,2,8,12.979,77.5978,1,0,0,3.9
T0181,education,construction,2,8,12.9744,77.5836,5,1,1,4.2
T0182,women_empowerment,"legal_advice,data_entry,counseling",3,6,12.9331,77.5102,4,1,0,5.0
T0183,education,"event_planning,teaching,community_outreach",2,10,13.0462,77.5157,1,1,0,4.1
T0184,education,"cooking,legal_advice,photography,teaching",3,15,13.2294,77.5722,3,0,1,4.5
T0185,animal_welfare,"translation,medical_assistance",3,8,12.9571,77.3805,1,1,1,4.4
T0186,child_welfare,"cooking,construction",1,20,13.1035,77.6213,5,1,0,4.8
T0187,environment,translation,2,20,12.9376,77.5391,1,0,1,5.0
T0188,child_welfare,graphic_design,4,4,13.0512,77.5565,3,1,0,4.5
T0189,animal_welfare,"fundraising,data_entry,writing,construction",4,20,12.9086,77.5145,2,0,1,3.7
T0190,healthcare,event_planning,2,10,13.1412,77.7009,3,0,1,4.9
T0191,animal_welfare,coding,4,6,13.1056,77.6495,3,0,0,3.7
T0192,women_empowerment,gardening,3,8,13.0228,77.5263,4,0,1,3.7
T0193,child_welfare,data_entry,1,20,12.8748,77.8441,5,1,0,4.2
T0194,education,"mentoring,data_entry,social_media,photography",2,20,13.1176,77.3885,2,1,1,3.9
T0195,elderly_care,"teaching,gardening",4,20,12.8826,77.6661,4,1,0,4.3
T0196,education,"coding,photography,medical_assistance",5,20,13.0432,77.6448,3,1,0,4.4
T0197,elderly_care,"translation,coding,social_media,photography",1,15,13.0118,77.7928,5,0,0,4.1
T0198,healthcare,"graphic_design,mentoring,event_planning,counseling",1,10,13.0195,77.5868,3,1,0,4.4
T0199,environment,"writing,mentoring,event_planning,construction",5,15,12.9064,77.6441,4,0,1,4.8
T0200,women_empowerment,"public_speaking,community_outreach,counseling,teaching",4,2,12.9879,77.6099,5,1,1,4.5
T0201,child_welfare,construction,4,10,13.0265,77.7134,2,0,1,3.6
T0202,disaster_relief,"medical_assistance,teaching",5,2,12.7981,77.7313,5,0,0,4.9
T0203,disaster_relief,graphic_design,1,20,13.0932,77.4513,3,0,0,3.7
T0204,healthcare,"graphic_design,fundraising",1,2,12.759,77.5065,5,1,1,4.9
T0205,child_welfare,"legal_advice,teaching",5,15,12.9717,77.6071,5,1,0,4.4
T0206,women_empowerment,"cooking,counseling,construction",1,2,12.9783,77.6205,2,0,1,4.8
T0207,animal_welfare,"social_media,gardening",2,2,12.9922,77.6894,5,1,1,4.1
T0208,environment,"medical_assistance,community_outreach",4,10,13.0311,77.6289,2,0,1,5.0
T0209,elderly_care,"counseling,cooking",2,20,12.8819,77.5251,4,1,0,4.9
T0210,animal_welfare,"fundraising,public_speaking",5,2,12.9927,77.6156,3,0,1,4.9
T0211,animal_welfare,"social_media,writing,public_speaking",2,2,13.0733,77.6009,1,0,1,4.4
T0212,environment,"event_planning,cooking,counseling,coding",1,6,12.816,77.5424,4,0,1,4.7
T0213,environment,"translation,social_media,public_speaking,teaching",2,8,12.8969,77.4169,5,1,0,4.9
T0214,child_welfare,"writing,legal_advice,community_outreach",4,6,13.0804,77.838,4,0,1,4.5
T0215,healthcare,coding,1,2,12.9012,77.6414,2,0,0,4.4
T0216,animal_welfare,coding,1,15,12.846,77.5501,5,0,1,4.2
T0217,animal_welfare,medical_assistance,1,15,13.0228,77.5991,5,1,0,5.0
T0218,women_empowerment,community_outreach,5,4,13.1494,77.5544,1,1,0,4.3
T0219,elderly_care,legal_advice,1,15,12.9255,77.5959,2,0,1,3.9
T0220,child_welfare,"public_speaking,photography,teaching",2,15,12.96,77.4413,5,0,1,4.8
T0221,elderly_care,"mentoring,counseling,teaching,community_outreach",1,15,12.9263,77.6788,2,1,1,3.5
T0222,environment,"translation,photography,fundraising,social_media",1,20,12.7626,77.7259,3,0,1,4.1
T0223,disaster_relief,"counseling,legal_advice,graphic_design",4,4,12.9007,77.5781,2,1,1,3.5
T0224,elderly_care,"event_planning,photography",4,2,12.9637,77.6299,2,0,1,4.9
T0225,elderly_care,"event_planning,legal_advice,translation",2,20,12.7661,77.5276,4,1,0,3.7
T0226,women_empowerment,teaching,1,2,13.0369,77.6608,3,1,0,4.2
T0227,environment,"coding,translation,fundraising",2,4,12.9762,77.5278,3,0,1,5.0
T0228,environment,"legal_advice,photography",1,4,12.7629,77.6291,5,0,0,3.7
T0229,education,"mentoring,public_speaking,photography,social_media",1,8,12.8225,77.669,4,1,0,3.8
T0230,elderly_care,"translation,mentoring,cooking,legal_advice",3,6,12.9207,77.53,3,1,0,4.0
T0231,women_empowerment,graphic_design,3,6,12.9852,77.5982,4,1,0,4.1
T0232,environment,"translation,counseling,data_entry",1,6,12.9628,77.6193,3,1,1,3.9
T0233,healthcare,"photography,medical_assistance,fundraising",5,2,12.9984,77.5716,5,0,0,4.6
T0234,disaster_relief,fundraising,3,20,13.1278,77.5348,2,0,0,3.7
T0235,healthcare,"gardening,public_speaking,counseling,cooking",4,8,12.7878,77.6563,4,0,0,4.4
T0236,animal_welfare,"coding,mentoring",2,8,12.9874,77.5901,5,0,0,4.2
T0237,women_empowerment,"gardening,medical_assistance,construction,public_speaking",5,10,12.9719,77.5955,1,1,1,4.0
T0238,women_empowerment,"coding,public_speaking",1,6,12.9278,77.5797,1,0,1,4.9
T0239,elderly_care,"mentoring,writing,photography",3,6,12.9712,77.5945,1,1,0,4.1
T0240,environment,"data_entry,mentoring,teaching",3,6,12.9982,77.5416,1,0,1,4.9
T0241,animal_welfare,"gardening,photography,community_outreach",5,4,12.9849,77.666,4,0,1,4.1
T0242,disaster_relief,"fundraising,translation,graphic_design,community_outreach",2,15,13.0641,77.8085,2,1,0,4.0
T0243,disaster_relief,"medical_assistance,photography",2,15,12.9892,77.6028,4,0,0,4.6
T0244,education,event_planning,1,4,12.9676,77.5985,2,0,1,3.7
T0245,healthcare,teaching,3,4,12.9993,77.587,2,1,1,4.7
T0246,healthcare,"data_entry,translation,social_media",3,2,12.9773,77.7414,1,0,1,3.7
T0247,child_welfare,"social_media,teaching,writing,gardening",3,4,12.9868,77.6976,4,0,1,3.8
T0248,healthcare,writing,3,10,13.1789,77.7487,3,0,1,4.9
T0249,elderly_care,mentoring,5,10,12.9335,77.5652,2,1,0,4.8
T0250,child_welfare,"coding,counseling,event_planning",3,20,12.9538,77.7283,1,0,0,4.7
T0251,healthcare,"data_entry,social_media",4,2,12.8209,77.7183,5,1,1,3.7
T0252,animal_welfare,"social_media,graphic_design,medical_assistance",4,10,12.8913,77.7014,3,0,0,4.1
T0253,women_empowerment,"gardening,construction,translation,writing",4,15,12.8541,77.6987,1,0,1,3.5
T0254,education,counseling,1,6,12.73,77.5018,3,0,1,4.2
T0255,animal_welfare,"writing,photography,construction,mentoring",2,15,12.971,77.5629,1,1,1,3.6
T0256,education,construction,2,4,13.1741,77.6958,3,0,0,3.9
T0257,disaster_relief,construction,2,15,13.0265,77.4963,2,1,1,4.1
T0258,environment,"community_outreach,teaching,coding",1,10,12.984,77.605,2,0,1,4.7
T0259,child_welfare,"gardening,public_speaking,cooking,coding",2,2,12.9427,77.4838,5,1,0,4.6
T0260,healthcare,"mentoring,writing,medical_assistance,graphic_design",5,20,13.0877,77.3577,4,1,1,4.5
T0261,healthcare,"medical_assistance,graphic_design,mentoring,counseling",1,2,12.9398,77.5527,3,1,0,3.9
T0262,women_empowerment,"gardening,event_planning",3,10,13.1196,77.659,2,0,0,3.9
T0263,elderly_care,construction,1,2,13.1019,77.5835,3,0,1,4.6
T0264,elderly_care,"cooking,photography,data_entry,medical_assistance",1,8,12.9316,77.3345,5,0,0,3.5
T0265,women_empowerment,"translation,mentoring,coding,graphic_design",1,4,13.0442,77.6966,2,0,1,4.2
T0266,education,"data_entry,coding",4,15,12.8238,77.7726,4,0,0,5.0
T0267,education,social_media,1,4,12.7262,77.4849,3,0,1,3.6
T0268,healthcare,"graphic_design,coding,construction",3,2,13.1133,77.6593,2,1,1,5.0
T0269,child_welfare,"community_outreach,social_media,event_planning",3,8,13.1015,77.5712,4,0,1,4.1
T0270,education,"counseling,fundraising,legal_advice",1,15,12.9006,77.5919,2,0,0,4.8
T0271,healthcare,"medical_assistance,graphic_design,construction",4,6,13.0082,77.5467,4,1,1,3.7
T0272,healthcare,"event_planning,medical_assistance",3,6,12.9778,77.541,3,1,0,4.6
T0273,women_empowerment,"event_planning,public_speaking,community_outreach,mentoring",2,6,12.7255,77.523,5,0,1,3.6
T0274,child_welfare,"legal_advice,translation,photography",4,6,13.1928,77.6728,2,0,0,3.6
T0275,environment,"fundraising,coding,community_outreach,legal_advice",3,20,12.7928,77.5665,1,0,1,4.0
T0276,environment,"graphic_design,photography,counseling",5,15,13.0932,77.5482,4,1,1,4.7
T0277,education,"fundraising,social_media",3,4,12.8525,77.8331,4,0,1,4.8
T0278,environment,legal_advice,4,15,12.9559,77.7892,4,0,0,3.8
T0279,elderly_care,"legal_advice,gardening",2,4,12.9964,77.4341,2,0,1,4.7
T0280,disaster_relief,coding,1,15,13.0797,77.5125,4,1,1,4.0
T0281,environment,"cooking,data_entry,event_planning,graphic_design",5,10,12.8741,77.6204,4,1,1,4.8
T0282,healthcare,"coding,event_planning,fundraising,gardening",4,8,12.9754,77.597,5,0,1,4.3
T0283,animal_welfare,coding,4,2,13.0058,77.5486,2,1,0,4.0
T0284,child_welfare,"legal_advice,medical_assistance,teaching,counseling",3,6,12.9992,77.4602,4,0,0,4.9
T0285,elderly_care,"mentoring,teaching,gardening,social_media",5,6,13.0288,77.3747,2,1,0,4.3
T0286,animal_welfare,"photography,medical_assistance,mentoring,legal_advice",2,6,13.0902,77.7191,5,0,1,3.8
T0287,environment,"cooking,event_planning",3,6,12.8279,77.4388,2,0,0,3.5
T0288,healthcare,construction,5,10,13.0672,77.7316,4,0,0,5.0
T0289,animal_welfare,"graphic_design,writing,gardening",2,20,12.9296,77.7331,3,0,1,3.6
T0290,healthcare,"teaching,event_planning",1,4,13.1637,77.7555,3,1,0,3.6
T0291,disaster_relief,"counseling,photography,medical_assistance,event_planning",1,15,12.9657,77.5949,1,0,1,4.1
T0292,education,"community_outreach,graphic_design,gardening",5,2,12.8979,77.8275,3,1,1,5.0
T0293,women_empowerment,graphic_design,1,10,12.9035,77.5852,1,0,0,3.8
T0294,child_welfare,"event_planning,photography,teaching",2,6,12.9438,77.6471,4,0,0,4.0
T0295,child_welfare,"community_outreach,translation,legal_advice",2,4,12.8638,77.586,2,1,1,3.7
T0296,child_welfare,"graphic_design,photography,translation",5,20,12.8614,77.6435,3,0,1,4.1
T0297,child_welfare,"counseling,fundraising,community_outreach",5,10,12.9761,77.6025,4,1,1,4.1
T0298,elderly_care,graphic_design,2,4,13.0137,77.4864,1,0,1,4.1
T0299,disaster_relief,"event_planning,teaching,data_entry",2,10,12.8984,77.4152,3,0,0,4.1
T0300,healthcare,"cooking,photography",5,10,13.0316,77.6399,4,1,1,4.7
