match_id,volunteer_id,task_id,skill_match_ratio,willingness_score,availability_hours,distance_km,distance_score,fairness_score,urgency_level,urgency_score,time_compatibility,volunteer_reliability,reliability_score,task_difficulty,ngo_reputation,volunteer_aicte_points,volunteer_aicte_norm,task_points_opportunity,task_points_possible,task_points_norm,match_score,match_success
M00066,V0086,T0275,0.5,0.92,40,27.98,0.44,0.1,3,0.6,1.0,0.66,0.66,3,3.6,25.7,0.026,10.0,10.0,0.05,0.554,0
M00067,V0321,T0057,0.0,0.9,10,21.11,0.578,0.9,2,0.4,1.0,0.67,0.67,2,5.0,199.5,0.2,24.0,24.0,0.12,0.53,0
M00068,V0315,T0169,0.0,0.44,10,13.48,0.73,0.9,2,0.4,1.0,0.97,0.97,3,4.3,304.5,0.304,10.0,10.0,0.05,0.41,0
M00069,V0277,T0011,0.25,0.96,40,3.8,0.924,0.4,4,0.8,1.0,0.96,0.96,4,3.8,462.2,0.462,20.0,20.0,0.1,0.674,0
M00070,V0011,T0195,0.0,0.58,5,41.35,0.173,0.28,4,0.8,0.5,0.74,0.74,4,4.9,473.5,0.473,30.0,30.0,0.15,0.26,0
M00071,V0361,T0171,0.0,0.7,10,8.67,0.827,0.94,3,0.6,1.0,0.99,0.99,1,4.8,336.8,0.337,18.0,18.0,0.09,0.568,0
M00072,V0393,T0284,0.0,0.72,10,28.85,0.423,0.14,3,0.6,1.0,0.9,0.9,5,3.6,165.9,0.166,16.0,16.0,0.08,0.346,0
M00073,V0026,T0266,0.0,0.55,10,22.22,0.556,0.12,2,0.4,0.5,0.93,0.93,2,4.4,54.0,0.054,30.0,30.0,0.15,0.291,0
M00074,V0275,T0102,0.0,0.78,40,17.23,0.655,0.3,1,0.2,1.0,0.52,0.52,1,4.0,261.0,0.261,15.0,15.0,0.075,0.436,0
M00075,V0430,T0275,0.25,0.45,30,24.94,0.501,0.1,3,0.6,1.0,0.51,0.51,3,3.6,94.7,0.095,10.0,10.0,0.05,0.415,0
M00076,V0368,T0118,0.0,0.99,5,28.29,0.434,0.6,4,0.8,0.5,0.54,0.54,2,3.7,242.3,0.242,80.0,80.0,0.4,0.422,0
M00077,V0083,T0192,0.0,0.95,5,23.54,0.529,0.9,1,0.2,1.0,0.56,0.56,3,4.9,161.1,0.161,6.0,6.0,0.03,0.44,0
M00078,V0111,T0284,0.0,0.6,5,41.54,0.169,0.32,3,0.6,1.0,0.92,0.92,5,3.6,169.3,0.169,16.0,16.0,0.08,0.376,0
M00079,V0482,T0007,0.333,0.92,25,8.25,0.835,0.1,3,0.6,1.0,0.96,0.96,5,3.6,15.8,0.016,16.0,16.0,0.08,0.555,0
M00080,V0011,T0270,0.333,0.58,5,20.01,0.6,0.28,3,0.6,0.5,0.74,0.74,5,4.3,473.5,0.473,20.0,20.0,0.1,0.42,0
M00081,V0204,T0249,0.667,0.95,40,23.16,0.537,0.36,1,0.2,1.0,0.88,0.88,3,3.6,143.2,0.143,16.0,16.0,0.08,0.61,1
M00082,V0145,T0155,0.333,0.47,15,14.64,0.707,0.5,4,0.8,1.0,0.94,0.94,3,3.7,343.0,0.343,10.0,10.0,0.05,0.515,0
M00083,V0324,T0127,0.25,0.71,20,15.5,0.69,0.1,1,0.2,1.0,0.9,0.9,5,3.7,288.3,0.288,18.0,18.0,0.09,0.422,0
M00084,V0384,T0064,0.0,0.76,10,29.17,0.417,0.3,5,1.0,1.0,0.91,0.91,1,4.8,139.1,0.139,12.0,12.0,0.06,0.482,0
M00085,V0194,T0206,0.25,0.82,40,7.69,0.846,0.1,4,0.8,1.0,0.71,0.71,2,4.4,267.2,0.267,5.0,5.0,0.025,0.519,0
M00086,V0380,T0139,0.0,0.94,20,28.78,0.424,0.68,1,0.2,1.0,0.86,0.86,3,3.9,162.0,0.162,20.0,20.0,0.1,0.472,0
M00087,V0040,T0038,0.333,0.63,10,10.01,0.8,0.6,1,0.2,1.0,0.64,0.64,3,3.9,168.8,0.169,30.0,30.0,0.15,0.546,0
M00088,V0361,T0213,0.25,0.7,10,18.73,0.625,0.94,4,0.8,1.0,0.99,0.99,2,4.8,336.8,0.337,6.0,6.0,0.03,0.553,0
M00089,V0381,T0278,0.0,0.45,30,19.02,0.62,0.1,3,0.6,1.0,0.97,0.97,3,4.3,395.5,0.396,20.0,20.0,0.1,0.383,0
M00090,V0078,T0049,0.5,0.67,10,6.49,0.87,0.54,5,1.0,1.0,0.77,0.77,3,3.6,49.7,0.05,8.0,8.0,0.04,0.723,1
M00091,V0406,T0201,0.333,0.46,20,23.23,0.535,0.62,4,0.8,1.0,0.55,0.55,4,4.5,477.9,0.478,15.0,15.0,0.075,0.494,0
M00092,V0311,T0160,0.333,0.93,20,7.1,0.858,0.76,1,0.2,1.0,0.5,0.5,5,4.1,2.7,0.003,24.0,24.0,0.12,0.64,0
M00093,V0218,T0263,0.333,0.42,20,20.96,0.581,0.44,2,0.4,1.0,0.55,0.55,3,3.5,278.0,0.278,8.0,8.0,0.04,0.496,0
M00094,V0155,T0141,0.0,0.97,30,3.93,0.921,0.78,3,0.6,1.0,0.75,0.75,5,4.6,313.0,0.313,10.0,10.0,0.05,0.548,0
M00095,V0052,T0136,0.0,0.86,25,22.78,0.544,0.1,5,1.0,1.0,0.69,0.69,4,3.6,309.2,0.309,20.0,20.0,0.1,0.498,0
M00096,V0296,T0242,0.0,0.6,10,5.35,0.893,0.18,1,0.2,1.0,0.53,0.53,1,5.0,117.3,0.117,18.0,18.0,0.09,0.377,0
M00097,V0220,T0048,0.5,0.89,5,39.52,0.21,0.58,3,0.6,0.5,0.53,0.53,5,4.9,61.3,0.061,30.0,30.0,0.15,0.512,0
M00098,V0209,T0288,1.0,0.43,40,39.85,0.203,0.7,5,1.0,1.0,0.96,0.96,5,5.0,23.0,0.023,6.0,6.0,0.03,0.742,0
M00099,V0146,T0274,0.0,0.48,10,29.24,0.415,0.1,2,0.4,0.5,0.85,0.85,1,4.5,494.4,0.494,60.0,60.0,0.3,0.278,0
M00100,V0196,T0009,0.0,0.97,10,11.42,0.772,0.84,4,0.8,1.0,0.94,0.94,5,4.3,441.1,0.441,10.0,10.0,0.05,0.611,0
M00101,V0373,T0202,0.333,0.42,15,23.76,0.525,0.48,4,0.8,1.0,0.87,0.87,1,3.9,480.6,0.481,16.0,16.0,0.08,0.565,0
M00102,V0391,T0280,0.0,0.58,25,25.04,0.499,0.1,1,0.2,1.0,0.67,0.67,4,4.8,3.1,0.003,60.0,60.0,0.3,0.362,0
M00103,V0232,T0115,0.5,0.79,30,30.97,0.381,0.8,3,0.6,1.0,0.52,0.52,3,4.7,225.6,0.226,30.0,30.0,0.15,0.625,0
M00104,V0013,T0204,0.0,0.73,25,12.55,0.749,1.0,4,0.8,1.0,0.61,0.61,4,4.3,35.5,0.035,30.0,30.0,0.15,0.566,0
M00105,V0229,T0190,0.0,0.48,30,23.72,0.526,0.12,1,0.2,1.0,1.0,1.0,3,3.7,474.3,0.474,6.0,6.0,0.03,0.318,0
M00106,V0056,T0160,0.0,0.7,20,30.68,0.386,0.9,1,0.2,1.0,0.87,0.87,5,4.1,299.0,0.299,24.0,24.0,0.12,0.397,0
M00107,V0415,T0043,0.0,0.99,15,11.48,0.77,0.8,5,1.0,1.0,0.87,0.87,2,4.9,17.7,0.018,37.5,37.5,0.188,0.556,0
M00108,V0087,T0107,0.0,0.62,40,49.89,0.002,0.28,2,0.4,1.0,0.78,0.78,1,4.6,113.1,0.113,25.0,25.0,0.125,0.34,0
M00109,V0251,T0128,0.0,0.77,25,21.67,0.567,1.0,4,0.8,1.0,0.92,0.92,3,3.5,255.8,0.256,24.0,24.0,0.12,0.483,0
M00110,V0207,T0243,1.0,0.87,30,7.46,0.851,0.8,1,0.2,1.0,0.94,0.94,3,4.7,185.9,0.186,25.0,25.0,0.125,0.858,1
M00111,V0430,T0291,0.0,0.45,30,37.46,0.251,0.1,5,1.0,1.0,0.51,0.51,5,4.9,94.7,0.095,6.0,6.0,0.03,0.365,0
M00112,V0031,T0253,0.0,0.73,5,16.79,0.664,0.64,4,0.8,1.0,0.8,0.8,5,4.4,105.1,0.105,5.0,5.0,0.025,0.466,0
M00113,V0160,T0173,0.0,0.65,25,7.49,0.85,0.72,5,1.0,1.0,0.78,0.78,2,4.8,370.6,0.371,37.5,37.5,0.188,0.568,0
M00114,V0019,T0165,0.0,0.44,40,12.84,0.743,0.5,3,0.6,1.0,0.62,0.62,4,4.1,59.9,0.06,24.0,24.0,0.12,0.442,0
M00115,V0307,T0209,0.75,0.69,10,36.19,0.276,0.48,1,0.2,0.5,0.91,0.91,1,4.5,300.4,0.3,30.0,30.0,0.15,0.607,0
M00116,V0138,T0108,0.0,0.88,15,27.63,0.447,0.64,5,1.0,1.0,0.96,0.96,2,4.1,477.7,0.478,45.0,45.0,0.225,0.534,0
M00117,V0407,T0251,1.0,0.94,30,21.12,0.578,1.0,4,0.8,1.0,0.73,0.73,1,3.8,378.5,0.379,24.0,24.0,0.12,0.893,1
M00118,V0161,T0121,0.0,0.7,30,23.04,0.539,0.14,3,0.6,1.0,0.74,0.74,1,4.6,168.8,0.169,80.0,80.0,0.4,0.394,0
M00119,V0363,T0248,0.0,0.52,25,34.53,0.309,0.34,2,0.4,1.0,0.89,0.89,2,3.9,123.1,0.123,60.0,60.0,0.3,0.356,0
M00120,V0440,T0042,0.0,0.51,40,6.68,0.866,0.38,5,1.0,1.0,0.62,0.62,4,4.7,257.5,0.258,60.0,60.0,0.3,0.525,0
M00121,V0218,T0040,0.0,0.42,20,35.12,0.298,0.44,3,0.6,1.0,0.55,0.55,5,3.7,278.0,0.278,37.5,37.5,0.188,0.328,0
M00122,V0388,T0007,0.667,0.47,30,19.37,0.613,0.34,3,0.6,1.0,0.84,0.84,5,3.6,493.6,0.494,16.0,16.0,0.08,0.587,1
M00123,V0384,T0063,0.333,0.76,10,21.53,0.569,0.3,1,0.2,1.0,0.91,0.91,4,4.2,139.1,0.139,32.0,32.0,0.16,0.482,0
M00124,V0225,T0059,0.25,0.5,10,23.88,0.522,0.6,1,0.2,0.5,0.96,0.96,4,4.7,403.1,0.403,80.0,80.0,0.4,0.381,0
M00125,V0218,T0254,0.333,0.42,20,22.0,0.56,0.44,5,1.0,1.0,0.55,0.55,4,4.2,278.0,0.278,4.0,4.0,0.02,0.495,0
M00126,V0412,T0269,0.0,0.51,25,16.78,0.664,0.28,1,0.2,1.0,0.86,0.86,1,4.9,249.1,0.249,12.0,12.0,0.06,0.361,0
M00127,V0384,T0281,0.0,0.76,10,4.69,0.906,0.3,3,0.6,1.0,0.91,0.91,1,3.8,139.1,0.139,16.0,16.0,0.08,0.477,0
M00128,V0005,T0152,0.333,0.5,15,21.44,0.571,0.16,3,0.6,1.0,0.82,0.82,5,4.9,133.5,0.134,4.0,4.0,0.02,0.453,0
M00129,V0151,T0139,0.0,0.53,5,33.06,0.339,0.98,1,0.2,0.5,0.86,0.86,3,3.9,489.2,0.489,20.0,20.0,0.1,0.334,0
M00130,V0315,T0191,0.0,0.44,10,13.09,0.738,0.9,3,0.6,1.0,0.97,0.97,2,5.0,304.5,0.304,20.0,20.0,0.1,0.477,0
M00131,V0085,T0073,0.0,0.55,10,25.92,0.482,0.4,4,0.8,1.0,0.55,0.55,4,3.8,33.6,0.034,16.0,16.0,0.08,0.384,0
M00132,V0351,T0105,0.333,0.51,5,35.29,0.294,0.88,1,0.2,0.5,0.79,0.79,3,4.9,242.7,0.243,40.0,40.0,0.2,0.468,0
M00133,V0488,T0191,0.0,0.66,20,11.06,0.779,0.1,3,0.6,1.0,0.61,0.61,2,5.0,37.7,0.038,20.0,20.0,0.1,0.422,0
M00134,V0129,T0242,0.0,0.93,30,25.69,0.486,0.4,1,0.2,1.0,0.55,0.55,1,5.0,142.9,0.143,18.0,18.0,0.09,0.396,0
M00135,V0480,T0170,1.0,0.46,15,45.9,0.082,0.38,3,0.6,1.0,0.51,0.51,5,4.0,115.4,0.115,45.0,45.0,0.225,0.705,0
M00136,V0369,T0070,0.0,0.85,5,26.51,0.47,0.14,2,0.4,0.5,0.62,0.62,1,4.3,176.0,0.176,80.0,80.0,0.4,0.314,0
M00137,V0367,T0243,0.0,0.82,15,12.81,0.744,0.42,1,0.2,1.0,0.69,0.69,3,4.7,327.4,0.327,25.0,25.0,0.125,0.378,0
M00138,V0214,T0092,1.0,0.71,30,48.04,0.039,0.54,4,0.8,1.0,0.79,0.79,3,3.8,229.2,0.229,37.5,37.5,0.188,0.703,0
M00139,V0035,T0003,0.5,0.99,25,5.81,0.884,0.1,3,0.6,1.0,0.86,0.86,2,4.7,445.7,0.446,24.0,24.0,0.12,0.643,1
M00140,V0097,T0103,0.0,0.92,40,26.57,0.469,0.22,4,0.8,1.0,0.79,0.79,2,4.0,297.0,0.297,20.0,20.0,0.1,0.465,0
M00141,V0276,T0235,1.0,0.91,10,7.17,0.857,0.1,4,0.8,0.5,0.88,0.88,4,3.7,95.3,0.095,80.0,80.0,0.4,0.799,0
M00142,V0032,T0240,0.0,0.5,5,25.2,0.496,0.36,3,0.6,1.0,0.55,0.55,2,4.6,331.9,0.332,12.0,12.0,0.06,0.375,0
M00143,V0035,T0180,0.25,0.99,25,12.95,0.741,0.1,4,0.8,1.0,0.86,0.86,1,4.0,445.7,0.446,15.0,15.0,0.075,0.584,0
M00144,V0453,T0116,0.333,0.41,10,26.53,0.469,0.98,4,0.8,1.0,0.97,0.97,1,4.6,435.9,0.436,6.0,6.0,0.03,0.548,0
M00145,V0008,T0099,0.5,0.92,10,22.84,0.543,0.8,1,0.2,1.0,0.53,0.53,2,4.6,396.0,0.396,15.0,15.0,0.075,0.59,1
M00146,V0421,T0219,0.0,0.75,20,18.03,0.639,0.14,2,0.4,1.0,0.79,0.79,3,3.7,374.5,0.374,60.0,60.0,0.3,0.414,0
M00147,V0157,T0189,0.0,0.45,20,19.72,0.606,0.54,5,1.0,1.0,0.6,0.6,4,4.7,46.2,0.046,80.0,80.0,0.4,0.473,0
M00148,V0207,T0131,0.667,0.87,30,33.41,0.332,0.8,3,0.6,1.0,0.94,0.94,1,4.6,185.9,0.186,20.0,20.0,0.1,0.706,0
M00149,V0329,T0104,0.25,0.46,30,19.24,0.615,0.68,2,0.4,1.0,0.97,0.97,1,3.7,180.5,0.18,12.0,12.0,0.06,0.461,0
M00150,V0079,T0053,0.0,0.91,20,14.65,0.707,0.16,1,0.2,1.0,0.99,0.99,3,3.5,106.1,0.106,8.0,8.0,0.04,0.45,0
M00151,V0144,T0092,0.0,0.48,15,30.02,0.4,0.7,4,0.8,1.0,0.72,0.72,3,3.8,3.4,0.003,37.5,37.5,0.188,0.403,0
M00152,V0053,T0065,0.0,0.97,10,32.14,0.357,0.74,1,0.2,1.0,0.62,0.62,2,3.5,132.3,0.132,8.0,8.0,0.04,0.452,0
M00153,V0301,T0197,0.333,0.92,10,37.24,0.255,0.1,3,0.6,1.0,0.61,0.61,4,3.6,241.8,0.242,24.0,24.0,0.12,0.475,0
M00154,V0396,T0142,0.25,0.7,10,37.75,0.245,0.4,4,0.8,1.0,0.89,0.89,3,3.6,366.2,0.366,5.0,5.0,0.025,0.531,0
M00155,V0378,T0243,0.0,0.63,40,13.12,0.738,0.94,1,0.2,1.0,0.94,0.94,3,4.7,94.9,0.095,25.0,25.0,0.125,0.44,0
M00156,V0002,T0119,0.0,0.65,20,24.2,0.516,0.66,4,0.8,1.0,0.9,0.9,1,3.6,404.7,0.405,4.0,4.0,0.02,0.504,0
M00157,V0047,T0076,0.0,0.81,30,15.37,0.693,0.38,1,0.2,1.0,0.65,0.65,3,4.5,224.1,0.224,12.0,12.0,0.06,0.377,0
M00158,V0244,T0001,0.25,0.89,15,23.74,0.525,0.66,2,0.4,1.0,0.84,0.84,1,4.2,421.4,0.421,30.0,30.0,0.15,0.525,0
M00159,V0459,T0027,0.25,0.53,40,17.82,0.644,0.76,1,0.2,1.0,0.72,0.72,4,4.2,11.3,0.011,45.0,45.0,0.225,0.47,0
M00160,V0414,T0226,1.0,0.98,5,33.85,0.323,0.2,4,0.8,0.5,0.81,0.81,3,4.2,269.6,0.27,80.0,80.0,0.4,0.74,0
M00161,V0242,T0168,0.0,0.86,5,30.48,0.39,0.88,4,0.8,0.5,0.64,0.64,2,3.8,281.3,0.281,12.0,12.0,0.06,0.412,0
M00162,V0390,T0061,0.333,0.84,10,25.01,0.5,0.22,4,0.8,1.0,0.67,0.67,2,4.4,499.5,0.499,6.0,6.0,0.03,0.514,0
